id,object_id,content_type_id,tag_id
279,110,9,35
280,111,9,308
281,111,9,310
282,111,9,26
283,112,9,99
284,112,9,311
285,113,9,313
286,113,9,99
287,113,9,311
288,114,9,224
289,114,9,99
290,114,9,315
291,114,9,311
292,115,9,99
293,115,9,311
294,116,9,315
295,116,9,99
296,116,9,311
297,117,9,99
298,117,9,311
299,118,9,198
300,118,9,317
301,119,9,321
302,119,9,319
303,120,9,323
304,121,9,234
305,121,9,253
306,121,9,325
307,121,9,327
308,122,9,329
309,123,9,224
310,123,9,329
311,124,9,331
312,124,9,333
313,125,9,331
314,125,9,335
315,126,9,337
316,126,9,26
317,126,9,339
318,126,9,206
319,127,9,337
320,127,9,26
321,127,9,339
322,127,9,206
323,128,9,224
324,128,9,337
325,128,9,26
326,128,9,339
327,128,9,206
328,129,9,337
329,129,9,339
330,129,9,341
331,130,9,345
332,130,9,234
333,130,9,347
334,130,9,343
335,131,9,345
336,131,9,347
337,131,9,35
338,131,9,343
339,132,9,120
340,132,9,345
341,132,9,347
342,132,9,102
343,132,9,343
344,133,9,35
345,133,9,349
346,133,9,351
347,134,9,353
348,134,9,355
349,135,9,361
350,135,9,357
351,135,9,359
352,136,9,361
353,136,9,363
354,136,9,359
355,137,9,361
356,137,9,365
357,137,9,359
358,138,9,32
359,138,9,361
360,138,9,359
361,139,9,361
362,139,9,359
363,139,9,102
364,139,9,367
365,140,9,361
366,140,9,234
367,140,9,359
368,141,9,361
369,141,9,335
370,141,9,359
371,142,9,369
372,142,9,371
373,142,9,373
374,143,9,369
375,143,9,371
376,143,9,375
377,144,9,369
378,144,9,379
379,144,9,377
380,145,9,369
381,145,9,381
382,145,9,377
383,146,9,385
384,146,9,387
385,146,9,383
386,147,9,393
387,147,9,389
388,147,9,391
389,148,9,395
390,148,9,397
391,149,9,176
393,149,9,35
394,150,9,399
395,151,9,399
396,152,9,224
397,152,9,178
398,153,9,401
399,153,9,178
400,153,9,403
402,154,9,406
403,154,9,407
404,155,9,32
405,155,9,409
406,156,9,32
407,156,9,409
408,156,9,411
409,157,9,32
410,157,9,409
411,157,9,413
412,102,9,415
413,158,9,417
414,158,9,234
415,159,9,419
416,159,9,389
417,160,9,421
418,160,9,151
419,161,9,423
420,162,9,395
421,163,9,425
422,163,9,427
4493,1324,9,2114
424,165,9,433
425,165,9,202
426,165,9,431
427,166,9,202
428,166,9,435
429,166,9,436
430,166,9,438
431,166,9,127
432,167,9,440
433,167,9,442
434,167,9,149
435,168,9,224
436,168,9,440
437,168,9,442
438,168,9,149
439,169,9,448
440,169,9,444
441,169,9,446
442,170,9,448
443,170,9,444
444,170,9,446
445,171,9,448
446,171,9,444
447,171,9,446
448,172,9,450
449,172,9,452
450,172,9,333
451,173,9,450
452,173,9,452
453,173,9,333
454,174,9,450
455,174,9,452
456,174,9,333
457,108,9,20
458,175,9,450
459,175,9,452
460,175,9,333
461,175,9,454
462,176,9,450
463,176,9,452
464,176,9,333
465,177,9,456
466,177,9,450
467,177,9,171
468,178,9,458
469,178,9,460
470,179,9,464
471,179,9,243
472,179,9,462
473,180,9,466
474,181,9,468
475,182,9,468
476,182,9,470
477,182,9,335
478,183,9,472
479,184,9,474
480,184,9,476
481,185,9,474
482,185,9,476
483,185,9,454
484,186,9,480
485,186,9,482
486,186,9,484
487,186,9,478
488,187,9,480
489,187,9,486
490,188,9,480
491,188,9,486
492,189,9,480
493,189,9,488
494,189,9,482
495,189,9,478
496,190,9,490
497,190,9,159
498,191,9,234
499,191,9,492
500,192,9,492
501,192,9,494
502,193,9,224
503,193,9,496
504,194,9,498
505,194,9,182
506,195,9,504
507,195,9,506
508,195,9,500
509,195,9,502
510,196,9,504
511,196,9,506
512,196,9,500
513,196,9,502
514,197,9,315
515,197,9,508
516,198,9,512
517,198,9,454
518,198,9,510
519,199,9,224
520,199,9,512
521,199,9,510
522,199,9,454
523,200,9,514
524,201,9,308
525,201,9,516
526,201,9,518
527,202,9,516
528,202,9,518
529,203,9,520
530,203,9,516
531,203,9,518
532,204,9,522
533,204,9,335
534,205,9,528
535,205,9,524
536,205,9,526
537,206,9,536
538,206,9,530
539,206,9,532
540,206,9,534
541,207,9,224
542,207,9,530
543,207,9,315
544,207,9,532
545,207,9,534
546,208,9,204
547,208,9,530
548,208,9,532
549,208,9,534
550,209,9,204
551,209,9,530
552,209,9,532
553,209,9,534
554,210,9,210
555,210,9,538
556,210,9,534
557,211,9,369
558,211,9,371
559,211,9,540
560,212,9,541
561,212,9,351
562,213,9,395
563,213,9,541
564,213,9,351
565,214,9,351
566,214,9,541
567,214,9,543
568,215,9,541
569,215,9,351
570,216,9,541
571,216,9,351
572,217,9,541
573,217,9,351
574,218,9,283
575,218,9,541
576,218,9,351
577,219,9,541
578,219,9,351
579,220,9,545
580,220,9,546
581,220,9,541
582,220,9,351
585,221,9,133
586,222,9,315
587,222,9,541
588,222,9,351
589,223,9,508
590,223,9,335
591,223,9,548
592,223,9,541
593,223,9,351
594,224,9,319
595,224,9,550
596,224,9,351
597,225,9,315
598,225,9,550
599,225,9,351
600,226,9,433
601,226,9,351
602,227,9,552
603,227,9,554
604,227,9,556
605,227,9,22
606,228,9,552
607,228,9,554
608,228,9,556
609,228,9,22
610,229,9,552
611,229,9,554
612,229,9,556
613,229,9,22
614,230,9,560
615,230,9,558
616,231,9,153
617,231,9,562
618,231,9,564
619,232,9,568
620,232,9,570
621,232,9,566
622,233,9,234
623,233,9,572
624,233,9,574
625,234,9,576
626,234,9,578
627,235,9,580
628,236,9,530
629,236,9,204
630,236,9,582
631,237,9,584
632,237,9,94
633,238,9,353
634,238,9,586
635,238,9,588
636,238,9,245
637,239,9,592
638,239,9,594
639,239,9,596
640,239,9,590
641,240,9,353
642,240,9,228
643,241,9,353
644,241,9,228
646,242,9,44
